,concat_column,Акция,Сектор,Период,Выплата на акцию (прогноз),Размер дивиденда рекомендован советом директоров,Валюта,Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),Дата закрытия реестра рекомендована советом директоров,"Капитализация, млн.",DSI,Прогноз прибыли в след. 12m,Доля от прибыли,"Кол-во акций в обращении, млн. шт.",Стабильность выплат,Стабильность роста,Комментарий/Див. политика
10,HMS Group 9 месяцев 2021,HMS Group,Нефть/Газ,9 месяцев 2021,11.54,No,RUB,3.56%,324.1,11.01.2022,No,103.1,0.5,483.0,56.0,23.43,1,0,"Дивидендная политика компании предусматривает ежегодную выплату дивидендов в размере не менее 50% от прибыли за прошедший год с учетом ограничений по кредитным ковенантам и позиции ""Группы ГМС"" по долгу и ликвидности. В основном, Группа ГМС планирует выплачивать дивиденды два раза в год (промежуточные и финальные)."
11,HMS Group всего 12м,HMS Group,Нефть/Газ,всего 12м,21.85,No,RUB,6.74%,324.1,Nan,No,103.1,0.5,966.0,53.0,23.43,1,0,"Дивидендная политика компании предусматривает ежегодную выплату дивидендов в размере не менее 50% от прибыли за прошедший год с учетом ограничений по кредитным ковенантам и позиции ""Группы ГМС"" по долгу и ликвидности. В основном, Группа ГМС планирует выплачивать дивиденды два раза в год (промежуточные и финальные)."
12,HMS Group годовые 2021,HMS Group,Нефть/Газ,годовые 2021,10.31,No,RUB,3.18%,324.1,18.06.2022,No,103.1,0.5,483.0,50.0,23.43,1,0,"Дивидендная политика компании предусматривает ежегодную выплату дивидендов в размере не менее 50% от прибыли за прошедший год с учетом ограничений по кредитным ковенантам и позиции ""Группы ГМС"" по долгу и ликвидности. В основном, Группа ГМС планирует выплачивать дивиденды два раза в год (промежуточные и финальные)."
13,HeadHunter годовые 2021,HeadHunter,Пром. услуги,годовые 2021,34.56,No,RUB,1.2%,2885.0,09.06.2022,No,2079.1,0.21,3500.0,50.0,50.64,0.29,0.14,Дивидендная политика HeadHunter предполагает выплату акционерам не менее 50% от скорректированной чистой прибыли.
14,IRDIV. Индекс дивидендных акций всего 12м,IRDIV. Индекс дивидендных акций,Индексы,всего 12м,317.46,No,RUB,9.09%,1106.6,Nan,No,449449.15,0.65,5743492.69,42.17,0.0,Nan,Nan,"Оценка дивидендной доходности компаний, входящих в ""Доходъ Индекс дивидендных акций РФ (IRDIV)"", рассчитана как средневзвешенная доходность 50% лучших акций, отобранных по сумме факторов ""Дивидендная доходность"", ""Стабильность дивидендов"" и ""Качество эмитента"". Подробная информация по индексу: https://www.dohod.ru/blog/irdiv-doxod-indeks-dividendnyix-akczij-rf."
15,IRGRO. Индекс акций роста РФ всего 12м,IRGRO. Индекс акций роста РФ,Индексы,всего 12м,192.29,No,RUB,6.05%,510.33,Nan,No,276267.25,0.49,2121139.38,62.42,0.0,Nan,Nan,"Оценка дивидендной доходности компаний, входящих в ""Доходъ Индекс акций роста РФ (IRGRO)"", рассчитана как средневзвешенная доходность 40% лучших акций, отобранных по сумме факторов ""Рост компании"", ""Импульс роста котировок"", ""Качество эмитента"", ""Размер компании"" и ""Рыночный риск"". Подробная информация по индексу: https://www.dohod.ru/blog/irgro-doxod-indeks-akczij-rosta-rf"
16,QIWI I квартал 2022,QIWI,Финансы и Банки,I квартал 2022,18.22,No,RUB,2.35%,775.5,22.06.2022,No,669.15,0.21,1833.92,62.31,62.71,0.29,0.14,"На российском рынке торгуются ADR на акции QIWI (сами акции размещены и торгуются на NASDAQ). Формализованной дивидендной политики нет. Дивиденды объявляются и выплачиваются в долларах США, выплачиваются ежеквартально. Платят 65-85% от скорректированной чистой прибыли по МСФО. В 2020 году целевой уровень дивидендов - минимум 50% скорректированной чистой прибыли. Можно рассчитывать на ежеквартальные выплаты в диапазоне $0.20-0.30."
17,QIWI II квартал 2021,QIWI,Финансы и Банки,II квартал 2021,18.22,No,RUB,2.35%,775.5,22.09.2021,No,669.15,0.21,1921.57,59.47,62.71,0.29,0.14,"На российском рынке торгуются ADR на акции QIWI (сами акции размещены и торгуются на NASDAQ). Формализованной дивидендной политики нет. Дивиденды объявляются и выплачиваются в долларах США, выплачиваются ежеквартально. Платят 65-85% от скорректированной чистой прибыли по МСФО. В 2020 году целевой уровень дивидендов - минимум 50% скорректированной чистой прибыли. Можно рассчитывать на ежеквартальные выплаты в диапазоне $0.20-0.30."
18,QIWI III квартал 2021,QIWI,Финансы и Банки,III квартал 2021,18.22,No,RUB,2.35%,775.5,01.12.2021,No,669.15,0.21,2683.0,42.59,62.71,0.29,0.14,"На российском рынке торгуются ADR на акции QIWI (сами акции размещены и торгуются на NASDAQ). Формализованной дивидендной политики нет. Дивиденды объявляются и выплачиваются в долларах США, выплачиваются ежеквартально. Платят 65-85% от скорректированной чистой прибыли по МСФО. В 2020 году целевой уровень дивидендов - минимум 50% скорректированной чистой прибыли. Можно рассчитывать на ежеквартальные выплаты в диапазоне $0.20-0.30."
19,QIWI IV квартал 2021,QIWI,Финансы и Банки,IV квартал 2021,18.22,No,RUB,2.35%,775.5,27.04.2022,No,669.15,0.21,2828.0,40.41,62.71,0.29,0.14,"На российском рынке торгуются ADR на акции QIWI (сами акции размещены и торгуются на NASDAQ). Формализованной дивидендной политики нет. Дивиденды объявляются и выплачиваются в долларах США, выплачиваются ежеквартально. Платят 65-85% от скорректированной чистой прибыли по МСФО. В 2020 году целевой уровень дивидендов - минимум 50% скорректированной чистой прибыли. Можно рассчитывать на ежеквартальные выплаты в диапазоне $0.20-0.30."
20,QIWI всего 12м,QIWI,Финансы и Банки,всего 12м,72.89,No,RUB,9.4%,775.5,Nan,No,669.15,0.21,9266.49,49.33,62.71,0.29,0.14,"На российском рынке торгуются ADR на акции QIWI (сами акции размещены и торгуются на NASDAQ). Формализованной дивидендной политики нет. Дивиденды объявляются и выплачиваются в долларах США, выплачиваются ежеквартально. Платят 65-85% от скорректированной чистой прибыли по МСФО. В 2020 году целевой уровень дивидендов - минимум 50% скорректированной чистой прибыли. Можно рассчитывать на ежеквартальные выплаты в диапазоне $0.20-0.30."
21,TCS Group I квартал 2022,TCS Group,Финансы и Банки,I квартал 2022,30.11,No,RUB,0.48%,6221.2,28.05.2022,No,16913.06,0.43,20001.92,30.0,199.31,0.71,0.14,"Согласно дивидендной политике TCS Group (Тинькофф) на выплаты акционерам направляет 30% чистой прибыли по МСФО. Дивиденды выплачиваются ежеквартально, но иногда приостанавливают выплаты в случае необходимости накопления наличности. TCS Group в марте 2021 года также сообщила, что временно остановит выплату дивидендов до конца 2021 года, поскольку продолжает изучать возможности для органического и неорганического развития бизнеса. Часть накопленного капитала может быть направлена на обратный выкуп."
22,TCS Group II квартал 2021,TCS Group,Финансы и Банки,II квартал 2021,0.0,No,RUB,0%,6221.2,21.08.2021,No,16913.06,0.43,16724.42,0.0,199.31,0.71,0.14,"Согласно дивидендной политике TCS Group (Тинькофф) на выплаты акционерам направляет 30% чистой прибыли по МСФО. Дивиденды выплачиваются ежеквартально, но иногда приостанавливают выплаты в случае необходимости накопления наличности. TCS Group в марте 2021 года также сообщила, что временно остановит выплату дивидендов до конца 2021 года, поскольку продолжает изучать возможности для органического и неорганического развития бизнеса. Часть накопленного капитала может быть направлена на обратный выкуп."
23,TCS Group III квартал 2021,TCS Group,Финансы и Банки,III квартал 2021,0.0,No,RUB,0%,6221.2,27.11.2021,No,16913.06,0.43,16417.58,0.0,199.31,0.71,0.14,"Согласно дивидендной политике TCS Group (Тинькофф) на выплаты акционерам направляет 30% чистой прибыли по МСФО. Дивиденды выплачиваются ежеквартально, но иногда приостанавливают выплаты в случае необходимости накопления наличности. TCS Group в марте 2021 года также сообщила, что временно остановит выплату дивидендов до конца 2021 года, поскольку продолжает изучать возможности для органического и неорганического развития бизнеса. Часть накопленного капитала может быть направлена на обратный выкуп."
24,TCS Group IV квартал 2021,TCS Group,Финансы и Банки,IV квартал 2021,21.91,No,RUB,0.35%,6221.2,26.03.2022,No,16913.06,0.43,14558.45,30.0,199.31,0.71,0.14,"Согласно дивидендной политике TCS Group (Тинькофф) на выплаты акционерам направляет 30% чистой прибыли по МСФО. Дивиденды выплачиваются ежеквартально, но иногда приостанавливают выплаты в случае необходимости накопления наличности. TCS Group в марте 2021 года также сообщила, что временно остановит выплату дивидендов до конца 2021 года, поскольку продолжает изучать возможности для органического и неорганического развития бизнеса. Часть накопленного капитала может быть направлена на обратный выкуп."
25,TCS Group всего 12м,TCS Group,Финансы и Банки,всего 12м,52.02,No,RUB,0.84%,6221.2,Nan,No,16913.06,0.43,67702.37,15.31,199.31,0.71,0.14,"Согласно дивидендной политике TCS Group (Тинькофф) на выплаты акционерам направляет 30% чистой прибыли по МСФО. Дивиденды выплачиваются ежеквартально, но иногда приостанавливают выплаты в случае необходимости накопления наличности. TCS Group в марте 2021 года также сообщила, что временно остановит выплату дивидендов до конца 2021 года, поскольку продолжает изучать возможности для органического и неорганического развития бизнеса. Часть накопленного капитала может быть направлена на обратный выкуп."
26,X5 Retail Group 9 месяцев 2021,X5 Retail Group,Розничная торговля,9 месяцев 2021,71.63,No,RUB,2.8%,2558.5,18.12.2021,No,9575.21,0.36,33535.47,58.0,271.56,0.43,0.29,"Наблюдательный совет Компании одобрил изменения в дивидендной политике. В соответствии с новой дивидендной политикой денежный поток будет новой базой для расчета будущих дивидендов. Коэффициент чистый долг/EBITDA на уровне ниже 2,0 (по IAS 17) останется пороговым значением для выплаты дивидендов. Начиная с 2020 года, Х5 обязуется выплачивать дивиденды каждые полгода. Промежуточные дивиденды будут объявляться после публикации результатов третьего квартала. Ранее компания старалась выплачивать $1.3-1.4 на акцию в год."
27,X5 Retail Group всего 12м,X5 Retail Group,Розничная торговля,всего 12м,180.96,No,RUB,7.07%,2558.5,Nan,No,9575.21,0.36,78249.43,62.8,271.56,0.43,0.29,"Наблюдательный совет Компании одобрил изменения в дивидендной политике. В соответствии с новой дивидендной политикой денежный поток будет новой базой для расчета будущих дивидендов. Коэффициент чистый долг/EBITDA на уровне ниже 2,0 (по IAS 17) останется пороговым значением для выплаты дивидендов. Начиная с 2020 года, Х5 обязуется выплачивать дивиденды каждые полгода. Промежуточные дивиденды будут объявляться после публикации результатов третьего квартала. Ранее компания старалась выплачивать $1.3-1.4 на акцию в год."
28,X5 Retail Group годовые 2021,X5 Retail Group,Розничная торговля,годовые 2021,109.34,No,RUB,4.27%,2558.5,28.05.2022,No,9575.21,0.36,44713.96,66.4,271.56,0.43,0.29,"Наблюдательный совет Компании одобрил изменения в дивидендной политике. В соответствии с новой дивидендной политикой денежный поток будет новой базой для расчета будущих дивидендов. Коэффициент чистый долг/EBITDA на уровне ниже 2,0 (по IAS 17) останется пороговым значением для выплаты дивидендов. Начиная с 2020 года, Х5 обязуется выплачивать дивиденды каждые полгода. Промежуточные дивиденды будут объявляться после публикации результатов третьего квартала. Ранее компания старалась выплачивать $1.3-1.4 на акцию в год."
29,АФК Система 9 месяцев 2021,АФК Система,Телекомы,9 месяцев 2021,0.0,No,RUB,0%,31.25,08.12.2021,No,4147.7,0.61,8514.66,0.0,9650.0,1,0.21,"Совет директоров одобрил новую дивидендную политику АФК «Система» на 2021-2023гг. По новой дивидендной политике компания стремится выплачивать один раз в год дивиденды в размере не менее 0,31 руб. на 1 обыкновенную акцию в 2021 г., 0,41 руб. в 2022 г. и 0,52 руб. в 2023 г. Таким образом, исходя из текущего количества обыкновенных акций, рекомендуемый базовый объем дивидендов будет расти каждый год и составит около 3 млрд руб. в 2021 году, около 4 млрд руб. в 2022 году и около 5 млрд руб. в 2023 году. Дополнительно к базовому объему дивидендов, начиная с 2022 года, Совет директоров рекомендует к распределению акционерам в виде дивидендных выплат 10% от абсолютного прироста показателя OIBDA за предыдущий год, если АФК «Система» по итогам предыдущего года демонстрирует рост этого показателя более чем на 5% и при этом отношение чистый долг/OIBDA на конец предыдущего года не превышает 3,0х."
30,АФК Система всего 12м,АФК Система,Телекомы,всего 12м,0.31,No,RUB,0.99%,31.25,Nan,No,4147.7,0.61,11352.0,26.35,9650.0,1,0.21,"Совет директоров одобрил новую дивидендную политику АФК «Система» на 2021-2023гг. По новой дивидендной политике компания стремится выплачивать один раз в год дивиденды в размере не менее 0,31 руб. на 1 обыкновенную акцию в 2021 г., 0,41 руб. в 2022 г. и 0,52 руб. в 2023 г. Таким образом, исходя из текущего количества обыкновенных акций, рекомендуемый базовый объем дивидендов будет расти каждый год и составит около 3 млрд руб. в 2021 году, около 4 млрд руб. в 2022 году и около 5 млрд руб. в 2023 году. Дополнительно к базовому объему дивидендов, начиная с 2022 года, Совет директоров рекомендует к распределению акционерам в виде дивидендных выплат 10% от абсолютного прироста показателя OIBDA за предыдущий год, если АФК «Система» по итогам предыдущего года демонстрирует рост этого показателя более чем на 5% и при этом отношение чистый долг/OIBDA на конец предыдущего года не превышает 3,0х."
31,АФК Система годовые 2020,АФК Система,Телекомы,годовые 2020,0.31,Yes,RUB,0.99%,31.25,15.07.2021,Yes,4147.7,0.61,11352.0,26.35,9650.0,1,0.21,"Совет директоров одобрил новую дивидендную политику АФК «Система» на 2021-2023гг. По новой дивидендной политике компания стремится выплачивать один раз в год дивиденды в размере не менее 0,31 руб. на 1 обыкновенную акцию в 2021 г., 0,41 руб. в 2022 г. и 0,52 руб. в 2023 г. Таким образом, исходя из текущего количества обыкновенных акций, рекомендуемый базовый объем дивидендов будет расти каждый год и составит около 3 млрд руб. в 2021 году, около 4 млрд руб. в 2022 году и около 5 млрд руб. в 2023 году. Дополнительно к базовому объему дивидендов, начиная с 2022 года, Совет директоров рекомендует к распределению акционерам в виде дивидендных выплат 10% от абсолютного прироста показателя OIBDA за предыдущий год, если АФК «Система» по итогам предыдущего года демонстрирует рост этого показателя более чем на 5% и при этом отношение чистый долг/OIBDA на конец предыдущего года не превышает 3,0х."
32,Акрон 9 месяцев 2021,Акрон,Химия,9 месяцев 2021,371.78,No,RUB,6.25%,5946.0,11.12.2021,No,3314.93,0.64,21528.0,70.0,40.53,1,0.29,"Дивидендная политика Акрона подразумевает отчисление на дивиденды не менее 30% от чистой прибыли по МСФО, при этом компания стремится выплачивать дивиденды не менее 2 раз за финансовый год (могут и три раза в год - третья выплата производится из нераспределенной прибыли и плохо прогнозируема). Прошли пик инвестпрограммы, поэтому могут позволить выплачивать значительную часть прибыли в качестве дивидендов и выплачивают около 55-65% прибыли по МСФО. Менеджмент планирует сохранять дивиденды на уровне не ниже предыдущих лет, то есть примерно $200 млн в год. Сохраняют некоторую стабильность, выплачивая в течение последних нескольких лет по 330-400 рублей на акцию в год (по 100-160 рублей за выплату), стараются повышать дивиденды год к году. Акрон в 2021 году планирует сместить основные выплаты акционерам на конец года, что в совокупности со снижением CAPEX позволит группе снизить долговую нагрузку."
33,Акрон всего 12м,Акрон,Химия,всего 12м,629.25,No,RUB,10.58%,5946.0,Nan,No,3314.93,0.64,34561.0,67.73,37.2,1,0.29,"Дивидендная политика Акрона подразумевает отчисление на дивиденды не менее 30% от чистой прибыли по МСФО, при этом компания стремится выплачивать дивиденды не менее 2 раз за финансовый год (могут и три раза в год - третья выплата производится из нераспределенной прибыли и плохо прогнозируема). Прошли пик инвестпрограммы, поэтому могут позволить выплачивать значительную часть прибыли в качестве дивидендов и выплачивают около 55-65% прибыли по МСФО. Менеджмент планирует сохранять дивиденды на уровне не ниже предыдущих лет, то есть примерно $200 млн в год. Сохраняют некоторую стабильность, выплачивая в течение последних нескольких лет по 330-400 рублей на акцию в год (по 100-160 рублей за выплату), стараются повышать дивиденды год к году. Акрон в 2021 году планирует сместить основные выплаты акционерам на конец года, что в совокупности со снижением CAPEX позволит группе снизить долговую нагрузку."
34,Акрон годовые 2021,Акрон,Химия,годовые 2021,112.54,No,RUB,1.89%,5946.0,08.06.2022,No,3314.93,0.64,13033.0,35.0,40.53,1,0.29,"Дивидендная политика Акрона подразумевает отчисление на дивиденды не менее 30% от чистой прибыли по МСФО, при этом компания стремится выплачивать дивиденды не менее 2 раз за финансовый год (могут и три раза в год - третья выплата производится из нераспределенной прибыли и плохо прогнозируема). Прошли пик инвестпрограммы, поэтому могут позволить выплачивать значительную часть прибыли в качестве дивидендов и выплачивают около 55-65% прибыли по МСФО. Менеджмент планирует сохранять дивиденды на уровне не ниже предыдущих лет, то есть примерно $200 млн в год. Сохраняют некоторую стабильность, выплачивая в течение последних нескольких лет по 330-400 рублей на акцию в год (по 100-160 рублей за выплату), стараются повышать дивиденды год к году. Акрон в 2021 году планирует сместить основные выплаты акционерам на конец года, что в совокупности со снижением CAPEX позволит группе снизить долговую нагрузку."
35,Акрон специальные,Акрон,Химия,специальные,144.94,No,RUB,2.44%,5946.0,14.04.2022,No,3314.93,0.64,11750.0,50.0,40.53,1,0.29,"Дивидендная политика Акрона подразумевает отчисление на дивиденды не менее 30% от чистой прибыли по МСФО, при этом компания стремится выплачивать дивиденды не менее 2 раз за финансовый год (могут и три раза в год - третья выплата производится из нераспределенной прибыли и плохо прогнозируема). Прошли пик инвестпрограммы, поэтому могут позволить выплачивать значительную часть прибыли в качестве дивидендов и выплачивают около 55-65% прибыли по МСФО. Менеджмент планирует сохранять дивиденды на уровне не ниже предыдущих лет, то есть примерно $200 млн в год. Сохраняют некоторую стабильность, выплачивая в течение последних нескольких лет по 330-400 рублей на акцию в год (по 100-160 рублей за выплату), стараются повышать дивиденды год к году. Акрон в 2021 году планирует сместить основные выплаты акционерам на конец года, что в совокупности со снижением CAPEX позволит группе снизить долговую нагрузку."
36,Алроса I полугодие 2021,Алроса,Металлы и добыча,I полугодие 2021,6.35,No,RUB,4.75%,133.51,14.10.2021,No,13524.28,0.5,45674.4,102.35,7364.97,1,0,"Согласно новой дивидендной политике, принятой в августе 2018 года, дивиденды Алросы будут выплачиваться по полугодиям. Базой для расчета дивидендов выступает свободный денежный поток (FCF). Коэффициент выплат будет определяться в зависимости от уровня долговой нагрузки. При отрицательном долге сумма годовых выплат будет выше 100% свободного денежного потока за отчетный период, при отношении ""Чистый долг/EBITDA"" от 0,0х до 1,0х рекомендуемая сумма годовых дивидендов составит от 70% до 100% от суммы свободного денежного потока за отчетный период, при отношении ""Чистый долг/EBITDA"" в интервале 1,0х – 1,5х - от 50% до 70% от суммы свободного денежного потока за отчетный период. При этом установлен минимальный уровень дивидендов в размере 50% от чистой прибыли по МСФО за период, если коэффициент ""Чистый долг/EBITDA"" не превышает 1,5х. Текущий уровень долговой нагрузки 0,7х позволяет направлять на дивиденды весь свободный денежный поток. Компания не придерживается политики постоянных (или постоянного повышения) дивидендов, то есть их размер может существенно меняться год от года (в зависимости от денежного потока)."
37,Алроса II полугодие 2020,Алроса,Металлы и добыча,II полугодие 2020,9.54,Yes,RUB,7.15%,133.51,04.07.2021,Yes,13524.28,0.5,28704.0,244.78,7364.97,1,0,"Согласно новой дивидендной политике, принятой в августе 2018 года, дивиденды Алросы будут выплачиваться по полугодиям. Базой для расчета дивидендов выступает свободный денежный поток (FCF). Коэффициент выплат будет определяться в зависимости от уровня долговой нагрузки. При отрицательном долге сумма годовых выплат будет выше 100% свободного денежного потока за отчетный период, при отношении ""Чистый долг/EBITDA"" от 0,0х до 1,0х рекомендуемая сумма годовых дивидендов составит от 70% до 100% от суммы свободного денежного потока за отчетный период, при отношении ""Чистый долг/EBITDA"" в интервале 1,0х – 1,5х - от 50% до 70% от суммы свободного денежного потока за отчетный период. При этом установлен минимальный уровень дивидендов в размере 50% от чистой прибыли по МСФО за период, если коэффициент ""Чистый долг/EBITDA"" не превышает 1,5х. Текущий уровень долговой нагрузки 0,7х позволяет направлять на дивиденды весь свободный денежный поток. Компания не придерживается политики постоянных (или постоянного повышения) дивидендов, то есть их размер может существенно меняться год от года (в зависимости от денежного потока)."
38,Алроса всего 12м,Алроса,Металлы и добыча,всего 12м,15.89,No,RUB,11.9%,133.51,Nan,No,13524.28,0.5,74378.4,157.32,7364.97,1,0,"Согласно новой дивидендной политике, принятой в августе 2018 года, дивиденды Алросы будут выплачиваться по полугодиям. Базой для расчета дивидендов выступает свободный денежный поток (FCF). Коэффициент выплат будет определяться в зависимости от уровня долговой нагрузки. При отрицательном долге сумма годовых выплат будет выше 100% свободного денежного потока за отчетный период, при отношении ""Чистый долг/EBITDA"" от 0,0х до 1,0х рекомендуемая сумма годовых дивидендов составит от 70% до 100% от суммы свободного денежного потока за отчетный период, при отношении ""Чистый долг/EBITDA"" в интервале 1,0х – 1,5х - от 50% до 70% от суммы свободного денежного потока за отчетный период. При этом установлен минимальный уровень дивидендов в размере 50% от чистой прибыли по МСФО за период, если коэффициент ""Чистый долг/EBITDA"" не превышает 1,5х. Текущий уровень долговой нагрузки 0,7х позволяет направлять на дивиденды весь свободный денежный поток. Компания не придерживается политики постоянных (или постоянного повышения) дивидендов, то есть их размер может существенно меняться год от года (в зависимости от денежного потока)."
39,Астраханьэнергосбыт годовые 2020,Астраханьэнергосбыт,Энергетика,годовые 2020,0.04,No,RUB,4.44%,0.87,13.07.2021,No,9.29,0.21,60.0,50.0,773.9,0.43,0,Астраханская энергосбытовая компания (Астраханьэнергосбыт) не имеет конкретной дивидендной политики. Прогноз дивидендов имеет высокую неопределенность. За 2017 год выплатили 31.2% прибыли. За 2018 год - 98.7%. За 2019 год - 86.6% прибыли по МСФО.
40,Аэрофлот годовые 2020,Аэрофлот,Транспорт,годовые 2020,0.0,No,RUB,0%,68.08,05.07.2021,No,2289.0,0.0,0.0,0.0,2396.72,0,0,"В дивидендной политике компании говорится, что приоритетом является обеспечение выплаты дивидендов на уровне 25% от чистой прибыли по МСФО. Последние годы платят 50% из-за требований правительства к госкомпаниям. На фоне кризиса, вызванного пандемией COVID-19, ожидаем нулевых выплат за 2019 год, а также предполагаем нулевые выплаты и за 2020 год (государство оказывает финансовую поддержку Аэрофлоту и здесь важно понять, как компания будет возвращать государственную помощь этого года)."
